internal_client_id,product_id,product_name,product_ean,category,sub_category,store_name,store_type,city_name,stock_quantity
310mee980,549842, Baby Pacifier Soft Silicone Nipple (Yellow & Green) 1 pack (2 pieces) - Rs 249,,Baby Care,Feeding Essentials,Super Store Lucknow L4 - Warehouse,WAREHOUSE,Lucknow,0
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Dehradun - Feeder Warehouse,RETAIL_STORE,Dehradun,30
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Rajpura R2 - Feeder Warehouse,RETAIL_STORE,Rajpura,0
310mee980,495696, Baby Bottle & Nipple Brush(Box) 1 piece - Rs 229,,Baby Care,Feeding Essentials,Pune P2 - Feeder Warehouse,WAREHOUSE,Pune,0
310mee980,477344, Stay Warm Steel Bowl with Anti-Skid Base (Red)(Box) 1 unit - Rs 699,,Baby Care,Feeding Essentials,Kolkata K4 - Feeder Warehouse,WAREHOUSE,Kolkata,0
310mee980,477345, Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 99,,Baby Care,Oral & Nasal Care,Super Store Dasna 2 - Warehouse,RETAIL_STORE,Dasna,61
310mee980,445284, Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,,Baby Care,Baby Wipes,Goa - Feeder Warehouse,RETAIL_STORE,Goa,3
310mee980,445284, Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,,Baby Care,Baby Wipes,Hyderabad H3 - Feeder Warehouse,RETAIL_STORE,Hyderabad,57
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Indore - Feeder Warehouse,RETAIL_STORE,Indore,46
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Pune P2 - Feeder Warehouse,RETAIL_STORE,Pune,81
310mee980,549842, Baby Pacifier Soft Silicone Nipple (Yellow & Green) 1 pack (2 pieces) - Rs 249,,Baby Care,Feeding Essentials,Bhopal B1 - Feeder Warehouse,RETAIL_STORE,Bhopal,14
